security_key,code,name,cornerstone_names,cornerstone_investor_count,cornerstone_amount_hkd,cornerstone_ratio,cornerstone_lockup_months,cornerstone_lockup_end_date,cornerstone_quality_tags,industry,source_files
2549.HK,2549.HK,卡罗特,MPC VII Pte. Ltd；YSC Go (BVI) Limited,2,313180000.0,0.4172,6.0,2025-04-02,长线基金,家用电器,港股IPO基石投资者.csv
2556.HK,2556.HK,迈富时,刚信贸易有限公司；维港南昌东湖产业有限合伙基金,2,39422675.0,0.15189999999999998,6.0,2024-11-16,产业方；长线基金；主权/国资；上市公司关联,应用软件,港股IPO基石投资者.csv
2560.HK,2560.HK,海螺材料科技,安徽盛昌化工有限公司；深圳高灯计算机科技有限公司；芜湖阿泰克生物科技有限公司；国轩高科股份有限公司；SCGC资本控股有限公司；广东纵行科技有限公司,6,326718846.39,0.6992,6.0,2025-07-09,产业方；长线基金；主权/国资；上市公司关联,建筑材料,港股IPO基石投资者.csv
2561.HK,2561.HK,维昇药业-B,安科生物(香港)有限公司；园丰国际有限公司；WuXi Biologics HealthCare Venture；Vivo Capital；Reynold Lemkins Group (Asia) Limited,5,559951200.0,0.6501780000000001,6.0,2025-09-21,产业方；长线基金；主权/国资；上市公司关联,制药,港股IPO基石投资者.csv
2563.HK,2563.HK,华昊中天医药-B,富策控股有限公司；SilkyWater Absolute Return LPF；Novotech SG Holdings Pte. Ltd.；百洋健康产业国际商贸有限公司,4,177734400.0,0.7615,6.0,2025-04-30,产业方；长线基金,制药,港股IPO基石投资者.csv
2565.HK,2565.HK,派格生物医药-B,益泽康瑞医药(香港)有限公司,1,149518200.0,0.49700000000000005,6.0,2025-11-27,,制药,港股IPO基石投资者.csv
2566.HK,2566.HK,九源基因,和达金源(香港)有限公司；香港健友实业有限公司；复星实业(香港)有限公司；Jointown International Group Company Limited；Alibaba Health (Hong Kong) Technology Company Limited；吴启元；Delta Capital Hong Kong Limited,7,352390000.0,0.4966000000000001,6.0,2025-05-28,产业方；长线基金；上市公司关联,生命科学工具和服务,港股IPO基石投资者.csv
2567.HK,2567.HK,七牛智能,禾顺有限合伙,1,175725000.0,0.4,12.0,2025-10-16,产业方；主权/国资,应用软件,港股IPO基石投资者.csv
2570.HK,2570.HK,重塑能源,九江经开区鼎创股权投资中心(有限合伙),1,320648160.0,0.4518,6.0,2025-06-06,长线基金；主权/国资,电子元件,港股IPO基石投资者.csv
2571.HK,2571.HK,赛目科技,中国移动国际控股有限公司,1,148501680.0,0.34299999999999997,6.0,2025-07-15,产业方；上市公司关联,应用软件,港股IPO基石投资者.csv
2573.HK,2573.HK,新琪安,合赢香江控股有限公司；The Reynold Lemkins Group (Asia) Limited,2,60000000.0,0.2969,6.0,2025-12-10,产业方；主权/国资；上市公司关联,包装食品与肉类,港股IPO基石投资者.csv
2575.HK,2575.HK,轩竹生物-B,北京德诺瑞朗十五期股权投资基金中心(有限合伙),1,76600000.0,0.0981,6.0,2026-04-15,产业方；长线基金,制药,港股IPO基石投资者.csv
2577.HK,2577.HK,英诺赛科,STMicroelectronics Limited；江苏国有企业混合所有制改革基金(有限合伙)；HK InnoSC Limited；Inno CL. Limited,4,777190000.0,0.5538,6.0,2025-06-30,长线基金；主权/国资,半导体产品,港股IPO基石投资者.csv
2579.HK,2579.HK,中伟新材,贵州省新型工业化发展股权投资基金合伙企业(有限合伙)；宝达投资(香港)有限公司；中创新航科技集团股份有限公司；东圣先行科技及国泰君安证券投资(香港)有限公司；NR 1 SP；上海高毅及华泰资本投资有限公司；湖南兴湘新兴产业投资基金合伙企业(有限合伙)；蓝思国际(香港)有限公司；欣旺达财资(香港)有限公司,9,1658233150.0,0.46620000000000006,6.0,2026-05-17,产业方；长线基金；主权/国资；上市公司关联,商品化工,港股IPO基石投资者.csv
2580.HK,2580.HK,奥克斯电气,中邮人寿保险股份有限公司；华菱集团(香港)国际贸易有限公司；西藏源乐晟及CICC Financial Trading Limited；中邮理财有限责任公司；深圳永信及国泰君安证券投资(香港)有限公司,5,974150788.0,0.2347,6.0,2026-03-02,产业方；长线基金；主权/国资；上市公司关联,家用电器,港股IPO基石投资者.csv
2581.HK,2581.HK,明基医院,禾荣科技股份有限公司；合富(中国)医疗科技股份有限公司；苏州市战兴投产业基金合伙企业(有限合伙),3,310573680.0,0.49629999999999996,6.0,2026-06-22,产业方；长线基金；上市公司关联,保健护理服务,港股IPO基石投资者.csv
