p04477_f001,p04477_f002,p04477_f003,p04477_f004,p04477_f005,p04477_f006,p04477_f007,p04477_f008,p04477_f009,p04477_f010,p04477_f011,p04477_f012,p04477_f013,p04477_f014,p04477_f015,p04477_f016,p04477_f017,p04477_f018,p04477_f019,p04477_f020,p04477_f021,p04477_f022,p04477_f023
3317.HK,迅策,2025/12/29,9730,9696,34,0,29965.00000000000000000000,3515.00000000000000000000,26450.0000000000000000,0,3189.7676000000000000000000000000000000000000,3155.7676000000000000000000000000000000000000,34,0,4713,401,4312,0,7.2400000000000000,12.7800000000000000,资讯科技业,信息技术
3696.HK,英矽智能,2025/12/29,221926,206081,15845,0,31724.00000000000000000000,1855.00000000000000000000,29869.0000000000000000,0,18145.2571000000000000000000000000000000000000,9522.9771000000000000000000000000000000000000,8622.280000000000000000000000000000000000,0,43,29,14,0,1427.3700000000000000,1.00000000000000000000,医疗保健业,医疗保健
6600.HK,卧安机器人,2025/12/29,89935,87022,2913,0,71226.00000000000000000000,2715.00000000000000000000,68511.0000000000000000,0,13733.7442000000000000000000000000000000000000,10820.7442000000000000000000000000000000000000,2913,0,235,28,207,0,254.5000000000000000,7.0000000000000000,非必需性消费,非日常生活消费品
6651.HK,五一视界,2025/12/29,44502,43820,682,0,24012.00000000000000000000,5115.00000000000000000000,18897.0000000000000000,0,10513.6006000000000000000000000000000000000000,9831.6006000000000000000000000000000000000000,682,0,300,48,252,0,256.0100000000000000,10.0000000000000000,资讯科技业,信息技术
2635.HK,诺比侃,2025/12/22,33051,32605,446,0,24442.00000000000000000000,3255.00000000000000000000,21187.0000000000000000,0,3849.4256000000000000000000000000000000000000,3403.4256000000000000000000000000000000000000,446,0,135,32,103,0,188.7400000000000000,3.0000000000000000,资讯科技业,信息技术
2661.HK,轻松健康,2025/12/22,111894,106191,5703,0,55400.00000000000000000000,3265.00000000000000000000,52135.0000000000000000,0,12359.7326000000000000000000000000000000000000,6656.7326000000000000000000000000000000000000,5703.000000000000000000000000000000000000,0,40,25,15,0,1421.4700000000000000,6.0000000000000000,非必需性消费,金融
3378.HK,翰思艾泰-B,2025/12/22,139704,128426,11278,0,50275.00000000000000000000,6115.00000000000000000000,44160.0000000000000000,0,17580.3286000000000000000000000000000000000000,9015.7446000000000000000000000000000000000000,8564.5840000000000000000000000000000000000000,0,40,32,8,0,3074.0900000000000000,1.00000000000000000000,医疗保健业,医疗保健
2396.HK,华芢生物-B,2025/12/19,146647,141939,4708,0,26927.00000000000000000000,2515.00000000000000000000,24412.0000000000000000,0,7931.2224000000000000000000000000000000000000,4408.9224000000000000000000000000000000000000,3522.300000000000000000000000000000000000,0,40,26,14,0,791.9500000000000000,2.5000000000000000,医疗保健业,医疗保健
2581.HK,明基医院,2025/12/19,9291,9275,16,0,23155.00000000000000000000,3255.00000000000000000000,19900.0000000000000000,0,5353.2334000000000000000000000000000000000000,5337.2334000000000000000000000000000000000000,16,0,4434,127,4307,0,6.2800000000000000,50.0100000000000000,医疗保健业,医疗保健
2691.HK,南华期货股份,2025/12/19,7479,7474,5,0,10255.00000000000000000000,2455.00000000000000000000,7800.0000000000000000,0,6042.8632000000000000000000000000000000000000,6037.8632000000000000000000000000000000000000,5,0,9535,1735,7800,0,1.9100000000000000,74.6400000000000000,金融业,金融
