code,name,listing_date,record_date,margin_amount_hkd,public_offer_amount_hkd,margin_multiple,margin_over_text,currency,source_table
2530.HK,纽曼思,2025-01-10,2025-01-07,1341580000,27250000,59.808,超购于48.2322倍,HKD,孖展数据
2613.HK,汇舸环保,2025-01-09,2025-01-06,1883590000,39800000,57.4447,超购于46.3263倍,HKD,孖展数据
2560.HK,海螺材料科技,2025-01-09,2025-01-06,1026730000,47840000,24.9614,超购于20.4602倍,HKD,孖展数据
6681.HK,脑动极光-B,2025-01-08,2025-01-03,555610000,58320000,12.3638,超购于8.5268倍,HKD,孖展数据
2587.HK,健康之路,2024-12-30,2024-12-23,237390000,22000000,14.1961,超购于9.7904倍,HKD,孖展数据
2577.HK,英诺赛科,2024-12-30,2024-12-23,368670000,152700000,2.3762,超购于1.4144倍,HKD,孖展数据
2506.HK,讯飞医疗科技,2024-12-30,2024-12-23,85890000,58260000,1.0482,超购于0.4743倍,HKD,孖展数据
2431.HK,佑驾创新,2024-12-27,2024-12-20,932200000,79160000,13.1462,超购于10.7755倍,HKD,孖展数据
2432.HK,越疆,2024-12-23,2024-12-18,251990000,41600000,7.3333,超购于5.0574倍,HKD,孖展数据
0999.HK,小菜园,2024-12-20,2024-12-17,58760000,86010000,,未足额,HKD,孖展数据
2593.HK,草姬集团,2024-12-19,2024-12-16,78412140000,13830000,7366.9622,超购于5666.894倍,HKD,孖展数据
1318.HK,毛戈平,2024-12-10,2024-12-05,173814190000,210360000,1072.8756,超购于825.2889倍,HKD,孖展数据
2586.HK,多点数智,2024-12-06,2024-12-03,106440000,77860000,0.811,超购于0.367倍,HKD,孖展数据
2570.HK,重塑能源,2024-12-06,2024-12-03,67120000,79660000,,未足额,HKD,孖展数据
2585.HK,梦金园,2024-11-29,2024-11-26,866260000,63300000,15.4758,超购于12.685倍,HKD,孖展数据
2566.HK,九源基因,2024-11-28,2024-11-25,24861710000,57020000,565.4987,超购于434.999倍,HKD,孖展数据
6936.HK,顺丰控股,2024-11-27,2024-11-22,30593610000,586250000,66.5414,超购于51.1857倍,HKD,孖展数据
2582.HK,国富氢能,2024-11-15,2024-11-12,742620000,43800000,19.4648,超购于15.9547倍,HKD,孖展数据
2519.HK,傲基股份,2024-11-08,2024-11-05,559240000,46640000,13.4096,超购于10.9915倍,HKD,孖展数据
2551.HK,晶科电子股份,2024-11-08,2024-11-05,63895970000,12130000,6846.8038,超购于5266.7722倍,HKD,孖展数据
2510.HK,德翔海运,2024-11-01,2024-10-29,1193140000,112920000,13.8706,超购于9.5659倍,HKD,孖展数据
2563.HK,华昊中天医药-B,2024-10-31,2024-10-28,335750000,32090000,13.7193,超购于9.4615倍,HKD,孖展数据
2465.HK,龙蟠科技,2024-10-30,2024-10-25,154350000,70000000,2.0244,超购于1.205倍,HKD,孖展数据
9660.HK,地平线机器人-W,2024-10-24,2024-10-21,3377130000,540690000,7.6066,超购于5.2459倍,HKD,孖展数据
2460.HK,华润饮料,2024-10-23,2024-10-18,99229030000,554780000,231.2186,超购于177.8604倍,HKD,孖展数据
2567.HK,七牛智能,2024-10-16,2024-10-10,442690000,45690000,12.5994,超购于8.6893倍,HKD,孖展数据
9639.HK,荣利营造,2024-10-09,2024-10-04,1761300000,18250000,124.1624,超购于95.5095倍,HKD,孖展数据
2576.HK,太美医疗科技,2024-10-08,2024-10-03,3388860000,29140000,149.8669,超购于115.2822倍,HKD,孖展数据
2549.HK,卡罗特,2024-10-02,2024-09-26,79890610000,75060000,1382.3273,超购于1063.3287倍,HKD,孖展数据
0300.HK,美的集团,2024-09-17,2024-09-12,4383300000,1348450000,3.781,超购于2.2506倍,HKD,孖展数据
8629.HK,集信国控,2024-09-06,2024-09-03,52520000,10590000,6.6539,超购于3.9607倍,HKD,孖展数据
2410.HK,同源康医药-B,2024-08-20,2024-08-14,17540000,57930000,,未足额,HKD,孖展数据
2533.HK,黑芝麻智能,2024-08-08,2024-08-05,82990000,56060000,1.0619,超购于0.4805倍,HKD,孖展数据
1471.HK,众淼控股,2024-08-06,2024-08-01,508150000,36010000,15.9977,超购于13.1129倍,HKD,孖展数据
2531.HK,广联科技控股,2024-07-15,2024-07-10,32670000,33710000,,未足额,HKD,孖展数据
2507.HK,西锐,2024-07-12,2024-07-09,174890000,153650000,0.3054,超购于0.1382倍,HKD,孖展数据
1334.HK,瑞昌国际控股,2024-07-10,2024-07-05,149890000,17380000,11.0588,超购于7.6267倍,HKD,孖展数据
9680.HK,如祺出行,2024-07-10,2024-07-05,66290000,136220000,,未足额,HKD,孖展数据
2495.HK,声通科技,2024-07-10,2024-07-05,105290000,66400000,1.2941,超购于0.5856倍,HKD,孖展数据
6086.HK,方舟健客,2024-07-09,2024-07-04,250090000,19900000,14.1146,超购于11.5693倍,HKD,孖展数据
