code,name,listing_date,total_applicants,valid_applicants,subscribed_shares,public_subscription_multiple_ballot,one_lot_success_rate_pct,industry_level_1,industry_level_2,source_table
2507.HK,西锐,2024-07-11,4795,4789,4795.0,1.56,100.0,工业,工业,IPO打新中签结果
1334.HK,瑞昌国际控股,2024-07-09,5537,5531,2317.1105,19.24,20.01,能源业,能源,IPO打新中签结果
2495.HK,声通科技,2024-07-09,2734,2723,1692.9298,3.51,34.86,资讯科技业,信息技术,IPO打新中签结果
9680.HK,如祺出行,2024-07-09,1467,1465,1467.0,0.6,100.0,非必需性消费,信息技术,IPO打新中签结果
6086.HK,方舟健客,2024-07-08,4371,4368,4371.0,16.63,40.04,医疗保健业,日常消费品,IPO打新中签结果
6657.HK,百望股份,2024-07-08,3809,3804,2337.9747,6.58,40.01,资讯科技业,信息技术,IPO打新中签结果
1354.HK,经发物业,2024-07-02,7071,6991,7071.0,118.87,3.79,地产建筑业,房地产,IPO打新中签结果
2545.HK,中赣通信,2024-07-02,14245,14115,12664.8269,195.99,70.01,电讯业,通讯业务,IPO打新中签结果
8637.HK,元续科技,2024-06-28,30583,29235,30583.0,2480.61,3.01,资讯科技业,信息技术,IPO打新中签结果
2479.HK,天聚地合,2024-06-27,36119,34064,9427.3006,602.87,1.28,资讯科技业,信息技术,IPO打新中签结果
2559.HK,嘀嗒出行,2024-06-27,19815,19628,7924.278,112.9,10.0,非必需性消费,信息技术,IPO打新中签结果
6181.HK,老铺黄金,2024-06-27,42474,39087,42474.0,582.15,3.39,非必需性消费,非日常生活消费品,IPO打新中签结果
2881.HK,武汉有机,2024-06-17,13111,12610,3417.9632,337.57,5.01,原材料业,原材料,IPO打新中签结果
2512.HK,云工场,2024-06-13,8846,8810,8846.0,25.79,100.0,资讯科技业,信息技术,IPO打新中签结果
2228.HK,晶泰控股,2024-06-12,19602,19303,10448.2391,103.35,20.0,医疗保健业,工业,IPO打新中签结果
2522.HK,一脉阳光,2024-06-06,17855,17155,5416.1524,336.33,3.01,医疗保健业,医疗保健,IPO打新中签结果
2550.HK,宜搜科技,2024-06-06,9239,9189,1828.2263,114.59,10.02,非必需性消费,信息技术,IPO打新中签结果
8529.HK,优博控股,2024-05-31,38849,37670,5110.8221,2503.03,0.2,资讯科技业,信息技术,IPO打新中签结果
2443.HK,汽车街,2024-05-30,19474,18876,6621.8249,433.34,5.01,非必需性消费,非日常生活消费品,IPO打新中签结果
2505.HK,EDA集团控股,2024-05-27,9929,9722,4127.757,103.44,10.01,工业,工业,IPO打新中签结果
0917.HK,趣致集团,2024-05-24,5765,5711,4205.6085,12.05,60.02,非必需性消费,信息技术,IPO打新中签结果
2898.HK,盛禾生物-B,2024-05-23,7451,7430,2921.9895,10.08,7.82,医疗保健业,医疗保健,IPO打新中签结果
2529.HK,泓盈城市服务,2024-05-16,5727,5714,4745.0631,47.59,80.03,地产建筑业,房地产,IPO打新中签结果
2556.HK,迈富时,2024-05-14,2576,2565,1797.0872,5.95,55.04,资讯科技业,信息技术,IPO打新中签结果
2438.HK,出门问问,2024-04-23,15352,15140,10303.465,117.39,25.01,资讯科技业,信息技术,IPO打新中签结果
2515.HK,天津建发,2024-04-22,16354,15702,6010.8351,433.06,10.01,地产建筑业,工业,IPO打新中签结果
