code,name,listing_date,issue_price,offer_price_low,offer_price_high,public_subscription_multiple,international_subscription_multiple,one_lot_success_rate_pct,cornerstone_count,cornerstone_amount_hkd,margin_multiple,decision_tier,pre_listing_score
2097.HK,蜜雪集团,2025-03-03,202.5,202.5,202.5,5258.21,35.23,8.0,5.0,1557780000.0,6920.3735,A 高优先,87.0
1364.HK,古茗,2025-02-12,9.94,8.68,9.94,194.87,15.03,100.0,5.0,553111300.0,222.4329,C 等待触发,59.6
2571.HK,赛目科技,2025-01-15,12.99,12.0,18.0,2.66,1.06,100.0,1.0,148501680.0,0.4165,D 回避/仅跟踪,46.2
0805.HK,新吉奥房车,2025-01-13,1.27,1.24,1.64,2.52,1.01,80.04,,,2.9732,D 回避/仅跟踪,45.5
2596.HK,宜宾银行,2025-01-13,2.59,2.59,2.72,0.21,1.14,100.0,,,,D 回避/仅跟踪,45.8
0325.HK,布鲁可,2025-01-10,60.35,55.65,60.35,5999.96,38.6,10.0,4.0,388465000.0,7844.7775,A 高优先,89.5
2530.HK,纽曼思,2025-01-10,0.8,0.8,1.09,65.17,1.03,50.01,,,59.808,D 回避/仅跟踪,46.9
2613.HK,汇舸环保,2025-01-09,31.8,31.8,39.8,55.33,0.95,40.01,1.0,77688000.0,57.4447,D 回避/仅跟踪,47.5
2560.HK,海螺材料科技,2025-01-09,3.0,3.0,3.3,25.83,1.04,70.0,6.0,326718846.39,24.9614,C 等待触发,50.9
6681.HK,脑动极光-B,2025-01-08,3.22,3.22,3.22,11.39,1.01,50.01,4.0,377121450.0,12.3638,D 回避/仅跟踪,49.1
2577.HK,英诺赛科,2024-12-30,30.86,30.86,33.66,2.87,1.41,80.01,4.0,777190000.0,2.3762,C 等待触发,50.8
2506.HK,讯飞医疗科技,2024-12-30,82.8,82.8,82.8,3.66,1.1,80.05,5.0,276748828.0,1.0482,C 等待触发,52.4
2587.HK,健康之路,2024-12-30,7.8,7.8,8.8,34.42,0.98,50.0,1.0,99894600.0,14.1961,D 回避/仅跟踪,49.6
2431.HK,佑驾创新,2024-12-27,17.0,17.0,20.2,14.04,1.09,50.01,2.0,540236200.0,13.1462,D 回避/仅跟踪,48.0
2432.HK,越疆,2024-12-23,18.8,18.8,20.8,9.25,2.64,50.0,,,7.3333,D 回避/仅跟踪,46.7
0999.HK,小菜园,2024-12-20,8.5,8.5,8.5,1.44,1.29,100.0,,,,D 回避/仅跟踪,46.4
2593.HK,草姬集团,2024-12-19,3.75,3.75,4.15,6083.63,1.79,3.0,3.0,27996000.0,7366.9622,B 重点观察,74.2
1318.HK,毛戈平,2024-12-10,29.8,26.3,29.8,919.18,30.34,100.0,6.0,100000000.0,1072.8756,A 高优先,80.6
2586.HK,多点数智,2024-12-06,30.21,30.21,30.21,1.94,1.36,100.0,1.0,304063650.0,0.811,D 回避/仅跟踪,47.2
2570.HK,重塑能源,2024-12-06,147.0,145.0,165.0,1.55,1.33,56.81,1.0,320648160.0,,D 回避/仅跟踪,46.8
2585.HK,梦金园,2024-11-29,12.0,12.0,14.4,20.58,0.98,7.66,5.0,211878421.0,15.4758,D 回避/仅跟踪,48.5
2566.HK,九源基因,2024-11-28,12.42,11.48,12.56,675.83,1.18,20.01,7.0,352390000.0,565.4987,B 重点观察,62.5
6936.HK,顺丰控股,2024-11-27,34.3,32.3,36.3,79.07,10.1,20.0,10.0,1591600000.0,66.5414,C 等待触发,58.3
2582.HK,国富氢能,2024-11-15,65.0,65.0,73.0,21.07,0.99,15.03,3.0,317966586.0,19.4648,D 回避/仅跟踪,47.3
2519.HK,傲基股份,2024-11-08,15.6,14.56,15.6,17.74,2.45,70.02,3.0,109408900.0,13.4096,D 回避/仅跟踪,48.5
2551.HK,晶科电子股份,2024-11-08,3.61,3.61,3.61,5677.83,6.95,0.24,,,6846.8038,B 重点观察,73.6
2510.HK,德翔海运,2024-11-01,4.18,3.5,4.5,12.09,2.22,5.87,6.0,496346544.0,13.8706,D 回避/仅跟踪,48.8
2563.HK,华昊中天医药-B,2024-10-31,16.0,16.0,22.0,21.45,0.994,4.45,4.0,177734400.0,13.7193,D 回避/仅跟踪,48.1
2465.HK,龙蟠科技,2024-10-30,5.5,4.5,7.0,3.99,3.23,70.02,1.0,110000000.0,2.0244,D 回避/仅跟踪,47.6
2562.HK,狮腾控股,2024-10-30,10.0,10.0,10.0,,,,,,,D 回避/仅跟踪,45.0
9660.HK,地平线机器人-W,2024-10-24,3.99,3.73,3.99,33.83,13.81,100.0,4.0,1706617962.0,7.6066,C 等待触发,54.2
2460.HK,华润饮料,2024-10-23,14.5,13.5,14.5,234.49,24.47,30.0,9.0,2406895600.0,231.2186,B 重点观察,67.0
2567.HK,七牛智能,2024-10-16,2.75,2.74,2.86,19.87,1.02,80.0,1.0,175725000.0,12.5994,D 回避/仅跟踪,46.8
9639.HK,荣利营造,2024-10-09,0.73,0.57,0.73,120.6,1.14,25.0,3.0,35000000.0,124.1624,C 等待触发,50.4
2576.HK,太美医疗科技,2024-10-08,13.0,10.0,13.0,156.33,2.58,2.69,,,149.8669,D 回避/仅跟踪,46.7
